902		298		11.90213952
1.04E+01	3.08E+02	1.19E+01	-2.53E+00	-2.97E-02
3.18E+01	3.08E+02	1.14E+01	-3.95E+00	2.55E-02
9.72E+01	3.08E+02	1.13E+01	-4.34E+00	8.80E-02
1.97E+02	3.08E+02	1.13E+01	-4.53E+00	1.60E-01
3.18E+02	3.08E+02	1.13E+01	-4.62E+00	2.35E-01
4.55E+02	3.08E+02	1.13E+01	-4.66E+00	3.14E-01
6.10E+02	3.08E+02	1.13E+01	-4.67E+00	4.25E-01
7.80E+02	3.08E+02	1.12E+01	-4.62E+00	5.77E-01
9.68E+02	3.08E+02	1.12E+01	-4.34E+00	8.83E-01
1.17E+03	3.08E+02	1.10E+01	-3.38E+00	1.46E+00
1.40E+03	3.08E+02	8.87E+00	-2.03E+00	2.95E+00
1.63E+03	3.09E+02	5.27E+00	-6.30E-01	4.95E+00
1.88E+03	3.10E+02	4.00E+00	5.89E-01	6.54E+00
2.14E+03	3.11E+02	4.12E+00	2.21E+00	8.16E+00
2.42E+03	3.11E+02	4.44E+00	3.88E+00	9.36E+00
2.70E+03	3.11E+02	4.67E+00	4.98E+00	9.64E+00
2.99E+03	3.11E+02	4.42E+00	5.61E+00	9.60E+00
3.29E+03	3.11E+02	4.00E+00	5.97E+00	1.02E+01
3.61E+03	3.12E+02	3.54E+00	6.23E+00	1.16E+01
3.93E+03	3.13E+02	2.68E+00	6.50E+00	1.30E+01
4.26E+03	3.14E+02	2.11E+00	6.75E+00	1.39E+01
4.60E+03	3.16E+02	1.86E+00	7.09E+00	1.46E+01
4.95E+03	3.17E+02	1.61E+00	7.63E+00	1.53E+01
5.32E+03	3.18E+02	1.37E+00	8.38E+00	1.59E+01
5.69E+03	3.19E+02	1.16E+00	9.28E+00	1.64E+01
6.06E+03	3.21E+02	9.65E-01	1.02E+01	1.69E+01
6.45E+03	3.22E+02	7.91E-01	1.12E+01	1.73E+01
6.84E+03	3.23E+02	6.42E-01	1.21E+01	1.75E+01
7.24E+03	3.24E+02	5.22E-01	1.32E+01	1.75E+01
7.64E+03	3.25E+02	4.28E-01	1.45E+01	1.74E+01
8.04E+03	3.26E+02	3.48E-01	1.64E+01	1.70E+01
8.45E+03	3.27E+02	2.66E-01	1.85E+01	1.64E+01
8.86E+03	3.29E+02	1.91E-01	2.04E+01	1.56E+01
9.28E+03	3.29E+02	1.32E-01	2.19E+01	1.45E+01
9.69E+03	3.29E+02	8.61E-02	2.21E+01	1.48E+01
1.01E+04	3.30E+02	5.93E-02	1.98E+01	2.01E+01
1.05E+04	3.37E+02	6.90E-02	1.78E+01	2.27E+01
1.09E+04	3.51E+02	3.63E-02	1.92E+01	2.10E+01
1.14E+04	3.60E+02	8.07E-03	1.97E+01	2.09E+01
1.18E+04	3.67E+02	6.00E-03	1.97E+01	2.04E+01
1.22E+04	3.73E+02	4.06E-03	1.95E+01	1.93E+01
1.27E+04	3.77E+02	2.69E-03	1.88E+01	1.74E+01
1.31E+04	3.82E+02	2.32E-03	1.74E+01	1.48E+01
1.35E+04	3.86E+02	2.51E-03	1.51E+01	1.20E+01
1.39E+04	3.91E+02	2.93E-03	1.28E+01	9.74E+00
1.44E+04	3.96E+02	3.31E-03	1.19E+01	9.65E+00
1.48E+04	4.02E+02	3.50E-03	1.22E+01	1.08E+01
1.52E+04	4.11E+02	3.11E-03	1.03E+01	7.81E+00
1.57E+04	4.21E+02	2.80E-03	4.38E+00	4.69E+00
1.61E+04	4.25E+02	2.95E-03	4.29E+00	5.81E+00
1.65E+04	4.32E+02	3.62E-03	6.41E+00	5.79E+00
1.69E+04	4.45E+02	4.04E-03	4.32E+00	3.44E+00
1.74E+04	4.53E+02	4.27E-03	2.58E+00	3.60E+00
1.79E+04	4.62E+02	4.43E-03	2.15E+00	2.44E+00
1.85E+04	4.76E+02	4.18E-03	9.80E-01	-8.75E-01
1.95E+04	4.98E+02	2.77E-03	2.97E-01	2.72E-02
2.08E+04	5.34E+02	1.91E-03	-1.09E+00	2.35E+00
2.27E+04	5.84E+02	2.09E-03	-1.75E+00	-3.02E+00
2.53E+04	6.67E+02	2.55E-03	-7.45E+00	-6.41E-01
2.89E+04	7.94E+02	3.78E-03	-9.89E+00	-1.18E+00
3.30E+04	9.77E+02	2.13E-03	-1.04E+01	2.04E+00
3.74E+04	1.22E+03	2.44E-03	-1.90E+01	4.69E-01
4.19E+04	1.51E+03	3.22E-03	-2.47E+01	6.31E+00
